source,name,calories,protein,fat,carbs,is_veg,is_allergen_peanuts,is_allergen_dairy,is_allergen_eggs,is_allergen_gluten,is_allergen_seafood,is_allergen_soy,is_allergen_treenuts,suitable_diabetes,suitable_hypertension
Indian_Food_Dataset,Hot Tea (Garam Chai),16.14,0.39,0.53,2.58,True,False,False,False,False,False,False,False,True,True
Indian_Food_Dataset,Instant Coffee,23.16,0.64,0.75,3.65,True,False,False,False,False,False,False,False,True,True
Indian_Food_Dataset,Espreso Coffee,51.54,1.75,2.14,6.62,True,False,False,False,False,False,False,False,True,True
Indian_Food_Dataset,Iced Tea,10.34,0.03,0.01,2.7,True,False,False,False,False,False,False,False,True,True
Indian_Food_Dataset,Raw Mango Drink (Aam Panna),35.92,0.16,0.03,9.05,True,False,False,False,False,False,False,False,True,True
Indian_Food_Dataset,Fruit Punch (With Fresh Juices),36.12,0.14,0.03,9.38,True,False,False,False,False,False,False,False,True,True
Indian_Food_Dataset,Fruit Punch (With Squashes),23.13,0.07,0.02,5.99,True,False,False,False,False,False,False,False,True,True
Indian_Food_Dataset,Lemonade,20.8,0.03,0.01,5.48,True,False,False,False,False,False,False,False,True,True
Indian_Food_Dataset,Lem-O-Gin,21.52,0.08,0.03,5.55,True,False,False,False,False,False,False,False,True,True
Indian_Food_Dataset,Cumin Infused Water (Jeere/Zeere Ka Pani),9.09,0.17,0.11,1.86,True,False,False,False,False,False,False,False,True,True
Indian_Food_Dataset,Coco Pine Cooler,32.75,0.56,1.0,5.72,True,False,False,False,False,False,False,False,True,True
Indian_Food_Dataset,Summer Cooler,22.43,0.37,0.04,5.43,True,False,False,False,False,False,False,False,True,True
Indian_Food_Dataset,Hot Cocoa,90.1,3.36,4.56,9.23,True,False,False,False,False,False,False,False,True,True
Indian_Food_Dataset,Cold Coffee With Ice Cream,67.85,1.57,2.11,11.24,True,False,False,False,False,False,False,False,True,True
Indian_Food_Dataset,Banana Milkshake (Kele Milkshake),65.31,1.84,2.37,9.15,True,False,True,False,False,False,False,False,True,True
Indian_Food_Dataset,Mango Milkshake (Aam Milkshake),56.9,1.73,2.35,7.23,True,False,True,False,False,False,False,False,True,True
Indian_Food_Dataset,Pineapple Milkshake (Ananas Milkshake),55.72,1.66,2.23,7.62,True,False,True,False,False,False,False,False,True,True
Indian_Food_Dataset,Orange Milkshake (Narangi Milkshake),57.42,1.86,2.52,7.11,True,False,True,False,False,False,False,False,True,True
Indian_Food_Dataset,Egg Nog,97.14,4.78,5.11,8.15,False,False,False,True,False,False,False,False,True,True
Indian_Food_Dataset,Sweet Lassi (Meethi Lassi),35.66,1.29,0.68,6.51,True,False,False,False,False,False,False,False,True,True
